Id,Dataset,Algo,FeaturesLabels,TimeSteps,ForecastSteps,StacksAndUnits,UseRegularization,UseDropout,Splits,Epochs,Done
470,building1,std,MinuteTimeStamp;Season;Total;OCCUPIED,96,96,100,True,False,3,70,False
471,building1,std,MinuteTimeStamp;Season;Total;OCCUPIED,96,96,100,True,True,3,70,False
472,building1,std,MinuteTimeStamp;Season;Total;OCCUPIED,96,288,25,False,False,3,70,False
473,building1,std,MinuteTimeStamp;Season;Total;OCCUPIED,96,288,25,False,True,3,70,False
474,building1,std,MinuteTimeStamp;Season;Total;OCCUPIED,96,288,25,True,False,3,70,False
475,building1,std,MinuteTimeStamp;Season;Total;OCCUPIED,96,288,25,True,True,3,70,False
476,building1,std,MinuteTimeStamp;Season;Total;OCCUPIED,96,288,100,False,False,3,70,False
477,building1,std,MinuteTimeStamp;Season;Total;OCCUPIED,96,288,100,False,True,3,70,False
478,building1,std,MinuteTimeStamp;Season;Total;OCCUPIED,96,288,100,True,False,3,70,False
479,building1,std,MinuteTimeStamp;Season;Total;OCCUPIED,96,288,100,True,True,3,70,False
480,building1,std,MinuteTimeStamp;Season;Total;OCCUPIED,288,30,25,False,False,3,70,False
481,building1,std,MinuteTimeStamp;Season;Total;OCCUPIED,288,30,25,False,True,3,70,False
482,building1,std,MinuteTimeStamp;Season;Total;OCCUPIED,288,30,25,True,False,3,70,False
483,building1,std,MinuteTimeStamp;Season;Total;OCCUPIED,288,30,25,True,True,3,70,False
484,building1,std,MinuteTimeStamp;Season;Total;OCCUPIED,288,30,100,False,False,3,70,False
485,building1,std,MinuteTimeStamp;Season;Total;OCCUPIED,288,30,100,False,True,3,70,False
486,building1,std,MinuteTimeStamp;Season;Total;OCCUPIED,288,30,100,True,False,3,70,False
487,building1,std,MinuteTimeStamp;Season;Total;OCCUPIED,288,30,100,True,True,3,70,False
488,building1,std,MinuteTimeStamp;Season;Total;OCCUPIED,288,96,25,False,False,3,70,False
489,building1,std,MinuteTimeStamp;Season;Total;OCCUPIED,288,96,25,False,True,3,70,False
490,building1,std,MinuteTimeStamp;Season;Total;OCCUPIED,288,96,25,True,False,3,70,False
491,building1,std,MinuteTimeStamp;Season;Total;OCCUPIED,288,96,25,True,True,3,70,False
492,building1,std,MinuteTimeStamp;Season;Total;OCCUPIED,288,96,100,False,False,3,70,False
493,building1,std,MinuteTimeStamp;Season;Total;OCCUPIED,288,96,100,False,True,3,70,False
494,building1,std,MinuteTimeStamp;Season;Total;OCCUPIED,288,96,100,True,False,3,70,False
495,building1,std,MinuteTimeStamp;Season;Total;OCCUPIED,288,96,100,True,True,3,70,False
496,building1,std,MinuteTimeStamp;Season;Total;OCCUPIED,288,288,25,False,False,3,70,False
497,building1,std,MinuteTimeStamp;Season;Total;OCCUPIED,288,288,25,False,True,3,70,False
498,building1,std,MinuteTimeStamp;Season;Total;OCCUPIED,288,288,25,True,False,3,70,False
499,building1,std,MinuteTimeStamp;Season;Total;OCCUPIED,288,288,25,True,True,3,70,False
500,building1,std,MinuteTimeStamp;Season;Total;OCCUPIED,288,288,100,False,False,3,70,False
501,building1,std,MinuteTimeStamp;Season;Total;OCCUPIED,288,288,100,False,True,3,70,False
502,building1,std,MinuteTimeStamp;Season;Total;OCCUPIED,288,288,100,True,False,3,70,False
503,building1,std,MinuteTimeStamp;Season;Total;OCCUPIED,288,288,100,True,True,3,70,False
504,building1,std,MinuteTimeStamp;Weekday;Season;Total;OCCUPIED,30,30,25,False,False,3,70,False
505,building1,std,MinuteTimeStamp;Weekday;Season;Total;OCCUPIED,30,30,25,False,True,3,70,False
506,building1,std,MinuteTimeStamp;Weekday;Season;Total;OCCUPIED,30,30,25,True,False,3,70,False
507,building1,std,MinuteTimeStamp;Weekday;Season;Total;OCCUPIED,30,30,25,True,True,3,70,False
508,building1,std,MinuteTimeStamp;Weekday;Season;Total;OCCUPIED,30,30,100,False,False,3,70,False
509,building1,std,MinuteTimeStamp;Weekday;Season;Total;OCCUPIED,30,30,100,False,True,3,70,False
510,building1,std,MinuteTimeStamp;Weekday;Season;Total;OCCUPIED,30,30,100,True,False,3,70,False
511,building1,std,MinuteTimeStamp;Weekday;Season;Total;OCCUPIED,30,30,100,True,True,3,70,False
512,building1,std,MinuteTimeStamp;Weekday;Season;Total;OCCUPIED,30,96,25,False,False,3,70,False
513,building1,std,MinuteTimeStamp;Weekday;Season;Total;OCCUPIED,30,96,25,False,True,3,70,False
514,building1,std,MinuteTimeStamp;Weekday;Season;Total;OCCUPIED,30,96,25,True,False,3,70,False
515,building1,std,MinuteTimeStamp;Weekday;Season;Total;OCCUPIED,30,96,25,True,True,3,70,False
